Nombre,Sinopsis,Año,Duración,Género,Apto,Sonido
El sorprendente Hombre-Araña 2 - La amenaza de Electro,"Ser el Hombre Araña (Andrew Garfield) es genial. Para Peter Parker, no hay mejor sensación que columpiarse entre rascacielos, ser el héroe y pasar el tiempo con Gwen (Emma Stone).",2014,141 MIN,"ACCIÓN, DE AVENTURAS",SAM13,SONIDO ENVOLVENTE 5.1
Mamma Mia!,"Donna, una madre independiente y soltera, dueña de un pequeño hotel en una idílica isla griega, está a punto de dejar que se marche Sophie, la hija a la que ha criado sola.",2008,108 MIN,"MUSICAL, COMEDIA",ATP,SONIDO ENVOLVENTE 5.1
John Wick 2: Un nuevo día para matar,"En esta secuela del éxito de 2014, el legendario asesino John Wick (Keanu Reeves) se ve obligado a salir del retiro por un ex-asociado que planea obtener el control de un misterioso grupo internacional de asesinos. Obligado a ayudarlo por un juramento de sangre, John emprende un viaje a Roma lleno de adrenalina estremecedora para pelear contra los asesinos más peligrosos del mundo.",2017,122 MIN,ACCIÓN,SAM16,SONIDO ENVOLVENTE 5.1
Más fuerte que el destino,"Más Fuerte que el Destino está inspirada en la historia de Jeff Bauman, un hombre ordinario quien capturó los corazones del mundo, para convertirse en un símbolo de esperanza, después de la infame explosión de bomba del Maratón de Boston del 2013.",2017,118 MIN,DRAMA,SAM16,SONIDO ENVOLVENTE 5.1
Oscura seducción,"Una cirujana plástica exitosa se embarca en una aventura apasionada con un enfermero, solo para descubrir el lado oscuro de su personalidad que alcanza niveles aterradores cuando ella se ve obligada a terminar su relación.",2011,89 MIN,ROMÁNTICA,SAM16,SONIDO ENVOLVENTE 5.1
Spider-Man: De regreso a casa,Un joven Peter Parker/Hombre Araña comienza a navegar la nueva identidad encontrada como el superhéroe lanzador de la web.,2017,133 MIN,"ACCIÓN, DE AVENTURAS",SAM13,SONIDO ENVOLVENTE 5.1
Jumanji: En la selva,"Cuatro adolescentes en detención descubren una vieja consola de videojuegos con un juego del que nunca han escuchado. Cuando deciden jugar, son inmediatamente succionador hacia la jungla de Jumanji, convertidos en sus avatares.",2017,119 MIN,"COMEDIA, FAMILIAR",SAM13,SONIDO ENVOLVENTE 5.1
El Karate Kid,"Un adolescente aprende sobre la vida, la amistad y el coraje bajo la guía de un maestro de artes marciales.",1984,126 MIN,"ACCIÓN, DE AVENTURAS",ATP,SONIDO ENVOLVENTE 5.1
La enfermera,"Durante el día, la enfermera Abby Russell se ocupa con cariño de los pacientes de All Saints Memorial Hospital; durante la noche, merodea por los clubes nocturnos, seduciendo a hombres infieles a tener relaciones peligrosas.",2014,83 MIN,"ERÓTICA, DE TERROR",SAM16,ESTÉREO
Anna Karenina,"La historia explora con fuerza la capacidad de amar del corazón humano. Anna (Knightley) duda de su felicidad y de su matrimonio, y los cambios se suceden a su alrededor.",2012,129 MIN,"DRAMA, ROMÁNTICA",SAM16,SONIDO ENVOLVENTE 5.1
